2026-01-18 18:08:23,737 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-18 18:08:23,738 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 14:31:56,621 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-19 14:31:56,672 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-19 14:31:56,673 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 14:32:01,746 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-19 14:32:01,784 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-19 14:32:01,787 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 14:32:06,866 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-19 14:32:06,894 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-19 14:32:06,896 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 14:39:04,140 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' already exists, returning
2026-01-19 14:39:04,240 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' already exists, returning
2026-01-19 14:39:04,315 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' already exists, returning
2026-01-19 15:05:33,498 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-19 15:05:33,679 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-19 15:05:33,680 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 15:05:38,754 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-19 15:05:38,790 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-19 15:05:38,791 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 15:05:43,840 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-19 15:05:43,898 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-19 15:05:43,899 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 15:11:22,916 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-19 15:11:22,956 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-19 15:11:22,958 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 15:11:28,036 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-19 15:11:28,075 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-19 15:11:28,076 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 15:11:33,153 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-19 15:11:33,195 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-19 15:11:33,197 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 15:40:04,792 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-19 15:40:04,843 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-19 15:40:04,844 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 15:40:09,916 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-19 15:40:09,955 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-19 15:40:09,956 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-19 15:40:15,043 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-19 15:40:15,077 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-19 15:40:15,077 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-21 19:42:20,236 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-21 19:42:20,282 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-21 19:42:20,283 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-21 19:42:25,357 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-21 19:42:25,394 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-21 19:42:25,395 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-21 19:42:30,470 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-21 19:42:30,511 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-21 19:42:30,513 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-23 16:19:50,450 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-23 16:19:50,512 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-23 16:19:50,515 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-23 16:19:55,618 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-23 16:19:55,664 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-23 16:19:55,668 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-23 16:20:00,749 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-23 16:20:00,781 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-23 16:20:00,782 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-23 16:20:50,946 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' already exists, returning
2026-01-23 16:20:51,056 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' already exists, returning
2026-01-23 16:20:51,132 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' already exists, returning
2026-01-23 17:49:35,690 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-23 17:49:35,745 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-23 17:49:35,746 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-23 17:49:40,817 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-23 17:49:40,856 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-23 17:49:40,857 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-23 17:49:45,941 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-23 17:49:45,991 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-23 17:49:45,992 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
